18:47:53.523 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 10ms
18:47:54.357 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000]]
18:47:54.358 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 1ms
18:47:59.838 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11]]
18:47:59.838 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:47:59.888 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11]]
18:47:59.889 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:48:07.881 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:48:07.882 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:48:07.935 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:48:07.936 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:48:18.129 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:48:18.130 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
